productname                                        ListPrice             ProductSubcategory                                 ProductCategory                                    PriceRank            CategoryPriceRankRN  CategoryPriceRankR   CategoryPriceRankDR  Top5PriceInCategory
HL Mountain Seat/Saddle                            52.64                 Saddles                                            Components                                         240                  120                  119                  44                   NO
HL Road Seat/Saddle                                52.64                 Saddles                                            Components                                         240                  121                  119                  44                   NO
LL Touring Handlebars                              46.09                 Handlebars                                         Components                                         247                  122                  122                  45                   NO
LL Road Handlebars                                 44.54                 Handlebars                                         Components                                         249                  123                  123                  46                   NO
LL Mountain Handlebars                             44.54                 Handlebars                                         Components                                         249                  124                  123                  46                   NO
LL Road Pedal                                      40.49                 Pedals                                             Components                                         251                  125                  125                  47                   NO
LL Mountain Pedal                                  40.49                 Pedals                                             Components                                         251                  126                  125                  47                   NO
ML Road Seat/Saddle                                39.14                 Saddles                                            Components                                         253                  127                  127                  48                   NO
ML Touring Seat/Saddle                             39.14                 Saddles                                            Components                                         253                  128                  127                  48                   NO
ML Mountain Seat/Saddle                            39.14                 Saddles                                            Components                                         253                  129                  127                  48                   NO
LL Headset                                         34.20                 Headsets                                           Components                                         264                  130                  130                  49                   NO
LL Mountain Seat/Saddle                            27.12                 Saddles                                            Components                                         268                  131                  131                  50                   NO
LL Touring Seat/Saddle                             27.12                 Saddles                                            Components                                         268                  132                  131                  50                   NO
LL Road Seat/Saddle                                27.12                 Saddles                                            Components                                         268                  133                  131                  50                   NO
Chain                                              20.24                 Chains                                             Components                                         280                  134                  134                  51                   NO

(295 rows affected)


Completion time: 2022-09-12T12:45:30.5960174+05:30
